Distance_(pixels),Gray_Value
0,13.5000
1,16.4167
2,19.1667
3,18.5000
4,17.5833
5,17.7500
6,15.7500
7,23.0833
8,42.0833
9,61.6667
10,79.7500
11,91.8333
12,93.7500
13,80.3333
14,51.2500
15,27.0000
16,25.0833
17,34.3333
18,39.0833
19,34.9167
20,25.2500
21,26.8333
